Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Shares Outstanding,Market Cap,exchange_portion
2021-05-24 00:00:00-04:00,122.9416560899178,125.19541260585332,121.51720801205188,121.57574462890624,357615000,0.0,0.0,14681140000,1784870527501.2205,0.0243588031992066
2021-05-31 00:00:00-04:00,122.03430321718754,123.0880069987406,120.1317812598914,122.82457733154295,278314500,0.0,0.0,14681140000,1803204815245.2085,0.0189572812465517
2021-06-07 00:00:00-04:00,123.0977637223054,125.3320106500686,121.79039624204644,124.24903106689452,327048100,0.0,0.0,14681140000,1824117419957.4275,0.022276750988002293
2021-06-14 00:00:00-04:00,124.70757204962555,129.32239943061526,123.97583461213122,127.28329467773438,457142800,0.0,0.0,14681140000,1868663868825.0732,0.031138099629865256
2021-06-21 00:00:00-04:00,127.12723012041629,131.36154861808834,126.06377492446826,129.86880493164062,354155800,0.0,0.0,14681140000,1906622106834.1064,0.02412318116985466
2021-06-28 00:00:00-04:00,130.1614613846656,136.5909908825578,130.10292477053093,136.55197143554688,321267200,0.0,0.0,14681140000,2004738609921.265,0.021882987288453077
2021-07-05 00:00:00-04:00,136.65926981754944,142.1033824089943,136.65926981754944,141.5765380859375,418559700,0.0,0.0,14681140000,2078504976354.9805,0.02851002715048014
2021-07-12 00:00:00-04:00,142.64978383397775,146.34749054468946,140.1326052101407,142.8253936767578,504249300,0.0,0.0,14681140000,2096839600123.596,0.03434674010328898
2021-07-19 00:00:00-04:00,140.24967689595798,145.09865822031367,138.2203232629255,144.9425506591797,441563700,0.0,0.0,14681140000,2127921878184.5093,0.030076935442343033
2021-07-26 00:00:00-04:00,144.65962381073297,146.18163536714425,139.06913881829712,142.3083038330078,423324000,0.0,0.0,14681140000,2089248131734.9243,0.028834545546190554
2021-08-02 00:00:00-04:00,142.79615667534023,144.43524178290969,141.64488175596088,142.58151245117188,284559400,0.22,0.0,14681140000,2093259145707.3977,0.019382650121175876
2021-08-09 00:00:00-04:00,142.85375967567057,146.0196076628779,141.9743649117742,145.68739318847656,298082900,0.0,0.0,14681140000,2138857015635.0708,0.020303797933947907
2021-08-16 00:00:00-04:00,145.14015211514308,148.20828197682377,141.19262776751532,144.7981719970703,429361600,0.0,0.0,14681140000,2125802234833.0688,0.029245794263933183
2021-08-23 00:00:00-04:00,144.9154664741197,147.4071048521051,143.4693450071479,145.19883728027344,272129100,0.0,0.0,14681140000,2131684457948.9136,0.01853596519071407
2021-08-30 00:00:00-04:00,145.58963124264193,151.43275455005795,145.20855830758308,150.76832580566406,386647700,0.0,0.0,14681140000,2213450898718.567,0.026336353988859175
2021-09-06 00:00:00-04:00,151.42300353694432,153.66058280218436,145.2965089144569,145.56033325195312,354897400,0.0,0.0,14681140000,2136991630918.579,0.02417369495829343
2021-09-13 00:00:00-04:00,147.18234188248485,147.95425357441454,142.42379770872697,142.71693420410156,492884800,0.0,0.0,14681140000,2095247291421.2036,0.03357265171505755
2021-09-20 00:00:00-04:00,140.50866720535464,144.09466540021555,138.03657576609208,143.5572509765625,394033300,0.0,0.0,14681140000,2107584099602.0508,0.02683942118936268
2021-09-27 00:00:00-04:00,142.14048810379208,142.61927836561526,135.92605500067936,139.38502502441406,441421300,0.0,0.0,14681140000,2046331066286.9265,0.03006723592309589
2021-10-04 00:00:00-04:00,138.51536558773057,140.919067213884,135.10525489399214,139.6292724609375,382910100,0.0,0.0,14681140000,2049916897097.168,0.026081768854462256
2021-10-11 00:00:00-04:00,139.01365724833073,141.58345035426535,136.01391778742862,141.5248260498047,354098200,0.0,0.0,14681140000,2077745784712.8296,0.024119257768810867
2021-10-18 00:00:00-04:00,140.16670185652995,146.7426608994433,139.8833459601026,145.28677368164062,340691300,0.0,0.0,14681140000,2132975464568.4817,0.023206052118568448
2021-10-25 00:00:00-04:00,145.2769626313239,149.66419959916033,143.05892977311782,146.371337890625,392740000,0.0,0.0,14681140000,2148898103559.5703,0.026751328575301374
2021-11-01 00:00:00-04:00,145.57987983847605,148.9411316152893,144.41711451167455,147.8174591064453,324080300,0.22,0.0,14681140000,2170128811585.9983,0.02207460047380517
2021-11-08 00:00:00-05:00,148.16045736944594,148.3170270490281,144.3147948704812,146.77093505859375,281799900,0.0,0.0,14681140000,2154764645526.123,0.019194687878461753
2021-11-15 00:00:00-05:00,147.14273968930576,157.56417731455713,146.13484684376652,157.10426330566406,462419300,0.0,0.0,14681140000,2306469684187.317,0.03149750632444075
2021-11-22 00:00:00-05:00,158.20994643286784,162.14367162718628,153.0041343483588,153.44447326660156,359933200,0.0,0.0,14681140000,2252739794253.235,0.024516706468298784
2021-11-29 00:00:00-05:00,155.94954215643256,166.64496654864044,154.4132457939149,158.3665313720703,669611100,0.0,0.0,14681140000,2325001218387.7563,0.04561029320611342
2021-12-06 00:00:00-05:00,160.76396591083707,175.77474686026093,160.75418590826885,175.59860229492188,569227700,0.0,0.0,14681140000,2577987664096.0693,0.03877271792245016
2021-12-13 00:00:00-05:00,177.23278429663986,178.22111715747442,166.0481029746897,167.46697998046875,769299200,0.0,0.0,14681140000,2458606178470.459,0.052400508407385256
2021-12-20 00:00:00-05:00,164.6683260603006,173.0544014741378,163.86593289547696,172.4966278076172,359176900,0.0,0.0,14681140000,2532447142371.521,0.024465191395218626
2021-12-27 00:00:00-05:00,173.28927846973892,177.43828466891586,173.26971846167436,173.7589874267578,340248100,0.0,0.0,14681140000,2550980020670.471,0.023175863727203747
2022-01-03 00:00:00-05:00,174.01338112213674,179.01370994510015,167.35932100577125,168.474853515625,481949000,0.0,0.0,14681140000,2473402910942.383,0.03282776405646973
2022-01-10 00:00:00-05:00,165.45117382752036,173.37732108762782,164.56070084163892,169.3555450439453,422655700,0.0,0.0,14681140000,2486332466566.4673,0.028789024558038407
2022-01-17 00:00:00-05:00,167.8290491369666,168.8369420952673,158.81672240399746,158.9243621826172,400041100,0.0,0.0,14681140000,2333190810613.7085,0.027248640091981958
2022-01-24 00:00:00-05:00,156.58562449447408,166.69392186078738,151.37979617966175,166.67434692382812,688258600,0.0,0.0,14681140000,2446969421597.29,0.046880460236739106
2022-01-31 00:00:00-05:00,166.5080196019223,172.45753207416732,165.8719609815745,168.69015502929688,458553300,0.22,0.0,14681140000,2476563782606.8115,0.031234175275217047
2022-02-07 00:00:00-05:00,169.36554182402375,173.07891833766965,164.64297356543503,165.23085021972656,412902000,0.0,0.0,14681140000,2425777244394.8364,0.028124655169830134
2022-02-14 00:00:00-05:00,163.9865458987422,169.835861234558,162.83040723152354,163.91796875,362252300,0.0,0.0,14681140000,2406502647734.375,0.024674671040532274
2022-02-21 00:00:00-05:00,161.64483312477108,163.32027109945614,148.92723524821795,161.51747131347656,414293700,0.0,0.0,14681140000,2371260608799.1333,0.02821945026067458
2022-02-28 00:00:00-05:00,159.7636525541402,165.49539765750822,158.6956910748113,159.87142944335938,418671400,0.0,0.0,14681140000,2347094837658.081,0.028517635551462625
2022-03-07 00:00:00-05:00,160.05759576032685,161.68404161070555,151.37670453340775,151.60205078125,521334100,0.0,0.0,14681140000,2225690931806.6406,0.03551046444622148
